"user_id";"username";"realname";"email";"age"
6000;"big_dawg";"Andrew";"BIGDAWG69@gmail.com";17
6001;"boomheadshot";"Mike";"mike223@gmail.com";27
6002;"lovethegame";"Arnold";"arnold62@hotmail.com";54
6003;"allidoiswin";"Steven";"winwinwin@gmail.com";17
6004;"genericusername01";"Tom";"tomisgreat@gmail.com";23
6005;"imbetterthanyou";"Richard";"xX.pro.gamer.Xx@gmail.com";19
6006;"huma";"Cory";"coryjones@gmail.com";28
6007;"mcnutty";"Dylan";"dylanismyname@gmail.com";26
6008;"yoshimi";"Bryce";"bryceisnice@gmail.com";26
6009;"chock";"John";"jsuchocki@gmail.com";27
